"43842";"0739432540";"0"
"43842";"0739434187";"0"
"43842";"0739434594";"0"
"43842";"0739435760";"0"
"43842";"073943604X";"0"
"43842";"0739436635";"0"
"43842";"0739438107";"0"
"43842";"0739439723";"0"
"43842";"0741412780";"0"
"43842";"0743202988";"0"
"43842";"0743206045";"0"
"43842";"0743206061";"0"
"43842";"0743211375";"0"
"43842";"0743211383";"0"
"43842";"0743216490";"0"
"43842";"0743221990";"8"
"43842";"0743223551";"0"
"43842";"0743224574";"0"
"43842";"0743225082";"0"
"43842";"0743225724";"0"
"43842";"0743235150";"0"
"43842";"0743246071";"0"
"43842";"0743260953";"0"
"43842";"0743406184";"0"
"43842";"0743410599";"0"
"43842";"0743411250";"0"
"43842";"074341795X";"0"
"43842";"0743418735";"0"
"43842";"0743431030";"0"
"43842";"0743436679";"0"
"43842";"0743437640";"0"
"43842";"0743439651";"0"
"43842";"0743439740";"0"
"43842";"0743442504";"0"
"43842";"0743444264";"0"
"43842";"0743448189";"0"
"43842";"0743451414";"0"
"43842";"0743451546";"0"
"43842";"0743454146";"0"
"43842";"0743454510";"1"
"43842";"0743457951";"0"
"43842";"0743475127";"0"
"43842";"0758200870";"0"
"43842";"0758204582";"0"
"43842";"0765307006";"0"
"43842";"0765340313";"0"
"43842";"0765340518";"0"
"43842";"0765341522";"0"
"43842";"0765345889";"0"
"43842";"0767915054";"8"
"43842";"0767916069";"0"
"43842";"0778320022";"0"
"43842";"0778320340";"0"
"43842";"0786006242";"0"
"43842";"0786012668";"0"
"43842";"0786012846";"0"
"43842";"0786013095";"0"
"43842";"0786013567";"0"
"43842";"0786014679";"0"
"43842";"0786710381";"0"
"43842";"0786868139";"0"
"43842";"0786868716";"0"
"43842";"0786884142";"0"
"43842";"0786886463";"0"
"43842";"0786889608";"0"
"43842";"0786889616";"0"
"43842";"0786889667";"0"
"43842";"0786890436";"0"
"43842";"080410526X";"10"
"43842";"0804105820";"10"
"43842";"080410946X";"0"
"43842";"0804112991";"0"
"43842";"0804114986";"0"
"43842";"0804115761";"0"
"43842";"0804117683";"0"
"43842";"080411868X";"0"
"43842";"080411935X";"0"
"43842";"0805052496";"0"
"43842";"0812512774";"0"
"43842";"0812515501";"0"
"43842";"0812541642";"0"
"43842";"0812544447";"0"
"43842";"0812551796";"0"
"43842";"0812571789";"0"
"43842";"0812579046";"0"
"43842";"0812589548";"0"
"43842";"0812971043";"0"
"43842";"0821753495";"0"
"43842";"082175856X";"0"
"43842";"0821767852";"0"
"43842";"0821769278";"0"
"43842";"0821769340";"0"
"43842";"0821772252";"0"
"43842";"0821772287";"0"
"43842";"0821772945";"0"
"43842";"0821775596";"0"
"43842";"0842329129";"8"
"43842";"0842329218";"0"
"43842";"0842329242";"0"
"43842";"0842329250";"0"
"43842";"0842329269";"0"
"43842";"0842329277";"0"
"43842";"0842329293";"0"
"43842";"0842332251";"0"
"43842";"084233226X";"0"
"43842";"0842332278";"0"
"43842";"0842332340";"0"
